taxonid	topt	hidden	name
368624	46	0	Halorubrum lipolyticum
419665	46	0	Methanococcus aeolicus Nankai-3
403191	47	0	Haloferax elongans
370323	47	0	Haloterrigena limicola
403181	48	0	Haloferax mucosum
519442	50	0	Halorhabdus utahensis DSM 12940
2248	50	0	Halorubrum saccharovorum
121872	50	0	Haloterrigena thermotolerans
644295	50	0	Methanohalobium evestigatum Z-7303
263906	50	0	Methanolinea tarda
123783	50	0	Natrialba hulunbeirensis
543526	51	0	Haloterrigena turkmenica DSM 5511
1041930	55	0	Methanocella conradii HZ254
349307	57	0	Methanosaeta thermophila PT
419942	59	0	Sulfolobus islandicus Y.N.15.51
273075	59	0	Thermoplasma acidophilum DSM 1728
263820	60	0	Picrophilus torridus DSM 9790
155863	62	0	Methanothermococcus okinawensis
647113	62	0	Methanothermococcus okinawensis IH1
1006006	65	0	Metallosphaera cuprina Ar-4
1111107	65	0	Metallosphaera yellowstonensis
79929	65	0	Methanothermobacter marburgensis str. Marburg
187420	65	0	Methanothermobacter thermautotrophicus str. Delta H
2186	65	0	Methanothermococcus thermolithotrophicus
660064	65	0	Methermicoccus shengliensis
1326980	65	0	Sulfolobales archaeon AZ1
1163730	67	0	Fervidicoccus fontis Kam940
273116	67	0	Thermoplasma volcanium GSS1
439481	70	0	Aciduliprofundum boonei T469
673860	70	0	Aciduliprofundum sp. MAR08-339
311458	70	0	Candidatus Caldiarchaeum subterraneum
200415	72	0	Caldisphaera lagunensis
439386	72	0	Sulfolobus islandicus Y.G.57.14
1316941	75	0	Archaeoglobus sulfaticallidus
1160895	75	0	Candidatus Acidianus copahuensis
399549	75	0	Metallosphaera sedula DSM 5348
213185	75	0	Methanotorris formicicus
555311	75	0	Sulfolobus solfataricus 98/2
427318	76	0	Sulfolobus islandicus M.16.27
426118	76	0	Sulfolobus islandicus M.16.4
930945	77	0	Sulfolobus islandicus REY15A
54076	77	0	Thermococcus zilligii
425944	78	0	Sulfolobus islandicus L.D.8.5
429572	78	0	Sulfolobus islandicus L.S.2.15
604354	78	0	Thermococcus sibiricus MM 739
693661	80	0	Archaeoglobus veneficus SNP6
667126	80	0	Methanocaldococcus villosus
579137	80	0	Methanocaldococcus vulcanius M7
971279	80	0	Palaeococcus pacificus
330779	80	0	Sulfolobus acidocaldarius DSM 639
273057	80	0	Sulfolobus solfataricus P2
273063	80	0	Sulfolobus tokodaii str. 7
523850	80	0	Thermococcus onnurineus NA1
1042877	80	0	Thermococcus sp. 4557
246969	80	0	Thermococcus sp. AM4
1378080	81	0	Thaumarchaeota archaeon JGI OTU-1
1395101	81	0	Thaumarchaeota archaeon JGI OTU-2
1379386	81	0	Thaumarchaeota archaeon JGI OTU-3
1379389	81	0	Thaumarchaeota archaeon JGI OTU-4
666510	82	0	Acidilobus saccharovorans 345-15
572546	82	0	Archaeoglobus profundus DSM 5631
768672	82	0	Desulfurococcus fermentans DSM 16532
1294122	82	0	nanoarchaeote Nst1
1294123	82	0	Sulfolobales archaeon Acd1
224325	83	0	Archaeoglobus fulgidus DSM 4304
523846	83	0	Methanothermus fervidus DSM 2088
1104324	84	0	Pyrobaculum sp. 1860
1184251	84	0	Thermogladius cellulolyticus 1633
933801	85	0	Acidianus hospitalis W1
229980	85	0	Aeropyrum camini
76887	85	0	Caldivirga maquilingensis
397948	85	0	Caldivirga maquilingensis IC-167
374847	85	0	Candidatus Korarchaeum cryptofilum OPF8
490899	85	0	Desulfurococcus kamchatkensis 1221n
765177	85	0	Desulfurococcus mucosus DSM 2162
589924	85	0	Ferroglobus placidus DSM 10642
573064	85	0	Methanocaldococcus fervens AG86
573063	85	0	methanocaldococcus infernus ME
243232	85	0	Methanocaldococcus jannaschii DSM 2661
70771	85	0	Pyrobaculum neutrophilum
591019	85	0	Staphylothermus hellenicus DSM 12710
55802	85	0	Thermococcus barophilus
391623	85	0	Thermococcus barophilus MP
69014	85	0	Thermococcus kodakarensis KOD1
444157	85	0	Thermoproteus neutrophilus V24Sta
633148	85	0	Thermosphaera aggregans DSM 11486
572478	87	0	Vulcanisaeta distributa DSM 14429
195522	87.5	0	Thermococcus nautili
880724	88	0	Methanotorris igneus Kol 5
593117	88	0	Thermococcus gammatolerans EJ3
2265	88	0	Thermococcus litoralis
163003	88	0	Thermococcus sp. CL1
368408	88	0	Thermofilum pendens Hrk 5
453591	90	0	Ignicoccus hospitalis KIN4/I
644281	90	0	Methanocaldococcus sp. FS406-22
228908	90	0	Nanoarchaeum equitans Kin4-M
1365176	90	0	Thermofilum sp. 1910b
768679	90	0	Thermoproteus tenax Kra 1
999630	90	0	Thermoproteus uzoniensis 768-20
94694	91	0	Desulfurococcus amylolyticus
427317	91	0	Sulfolobus islandicus M.14.25
272557	92	0	Aeropyrum pernix K1
340102	92	0	Pyrobaculum arsenaticum DSM 13514
410359	92	0	Pyrobaculum calidifontis JCM 11548
698757	92	0	Pyrobaculum oguniense TE7
399550	92	0	Staphylothermus marinus F1
583356	93	0	Ignisphaera aggregans DSM 17230
342949	93	0	Pyrococcus sp. NA2
1183377	95	0	Pyrococcus sp. ST04
272844	96	0	Pyrococcus abyssi GE5
190192	98	0	Methanopyrus kandleri AV19
1185654	98	0	Pyrococcus furiosus COM1
70601	98	0	Pyrococcus horikoshii OT3
529709	98	0	Pyrococcus yayanosii CH1
415426	100	0	Hyperthermus butylicus DSM 5456
178306	100	0	Pyrobaculum aerophilum str. IM2
384616	100	0	Pyrobaculum islandicum DSM 4184
186497	100	0	Pyrococcus furiosus DSM 3638
694429	106	0	Pyrolobus fumarii 1A
