taxonid,topt,hidden,name,fname,assembly,phylum,subdivision,class,order,family,genus
1365176,90.0,0,Thermofilum sp. 1910b,Thermofilum_sp._1910b,GCA_000446015.1_ASM44601v1,Crenarchaeota,Thermoprotei,Thermoprotei,Thermoproteales,Thermofilaceae,Thermofilum
397948,85.0,0,Caldivirga maquilingensis IC-167,Caldivirga_maquilingensis,GCA_000018305.1_ASM1830v1,Crenarchaeota,Thermoprotei,Thermoprotei,Thermoproteales,Thermoproteaceae,Caldivirga
1104324,84.0,0,Pyrobaculum sp. 1860,Pyrobaculum_sp._1860,GCA_000234805.1_ASM23480v1,Crenarchaeota,Thermoprotei,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum
70771,85.0,0,Pyrobaculum neutrophilum,Pyrobaculum_neutrophilum,GCA_000019805.1_ASM1980v1,Crenarchaeota,Thermoprotei,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum
340102,92.0,0,Pyrobaculum arsenaticum DSM 13514,Pyrobaculum_arsenaticum,GCA_000016385.1_ASM1638v1,Crenarchaeota,Thermoprotei,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum
410359,92.0,0,Pyrobaculum calidifontis JCM 11548,Pyrobaculum_calidifontis,GCA_000015805.1_ASM1580v1,Crenarchaeota,Thermoprotei,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum
698757,92.0,0,Pyrobaculum oguniense TE7,Pyrobaculum_oguniense,GCA_000247545.1_ASM24754v1,Crenarchaeota,Thermoprotei,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum
178306,100.0,0,Pyrobaculum aerophilum str. IM2,Pyrobaculum_aerophilum,GCA_000007225.1_ASM722v1,Crenarchaeota,Thermoprotei,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum
384616,100.0,0,Pyrobaculum islandicum DSM 4184,Pyrobaculum_islandicum,GCA_000015205.1_ASM1520v1,Crenarchaeota,Thermoprotei,Thermoprotei,Thermoproteales,Thermoproteaceae,Pyrobaculum
768679,90.0,0,Thermoproteus tenax Kra 1,Thermoproteus_tenax,GCA_000253055.1_ASM25305v1,Crenarchaeota,Thermoprotei,Thermoprotei,Thermoproteales,Thermoproteaceae,Thermoproteus
